supplier,vnr,ean,name,min_qty,max_qty,daily_rate,note
MS,173,,Rjómi iðnaðar/matarg 1/1 l,,,,EKKI PANNTA; Helgar/fimmtud: EKKI PANNTA
MS,174,,Rjómi 1/4 l,,,2,ca 2 pakn á dag; Helgar/fimmtud: þarf að eiga 10 pakn fyrir helgar; Eining: PK
MS,175,,Matreiðslurjómi 1/2 l,,,0.75,3/4 pakn á dag; Helgar/fimmtud: 3 fyrir helgar
MS,185,,Stoðmjólk 500 ml,2,5,,"ekki kaupa nema það séu 2 eftir, ekki meir en 5 stk í einu"
MS,189,,Kókómjólk sykurs. 4x6 1/4 l,5,,,Alltaf eiga 5 pakn.; Helgar/fimmtud: Alltaf eiga 5 pakn.; Eining: PK
MS,190,,Léttmjólk D-vítamínbætt 1/1 l,,,2,ca 2 pakn á dag; Helgar/fimmtud: 11 pakn. Fyrir helgar
MS,198,,Súkkulaðimjólk 1 l,2,,,ekki kaupa fyrr en það eru 2 stk eftir; Eining: PK
MS,199,,Súkkulaðimjólk 1/2 l,4,,,ekki kaupa fyrr en það eru 4 stk eftir
MS,200,,G mjólk 24 x 1/4 l,5,,,Alltaf eiga 5 pakn.; Helgar/fimmtud: Alltaf eiga 5 pakn.; Eining: PK
MS,201,,G mjólk lítri 1/1 l,3,,,Alltaf eiga 3 pakn.; Helgar/fimmtud: Alltaf eiga 3 pakn.; Eining: PK
MS,204,,Laktósalaus G-rjómi 1/4 l,4,,,ekki kaupa fyrr en það eru 4 stk eftir; Eining: PK
MS,207,,Kókómjólk 4x6stk 1/4 l,,,,pannta á mánudögum þarf að eiga 5 pakn; Helgar/fimmtud: pannta fyrir helgar þarf að eiga 5 pakn; Eining: PK
MS,211,,Kókómjólk lítri 1/1 l,1,,,alltaf eiga 1 pakningu; Helgar/fimmtud: alltaf eiga 1 pakningu; Eining: PK
MS,2133,,Hleðsla kolvetnaskert 8*3 1/4,5,,,Alltaf eiga 5 pakn.; Helgar/fimmtud: Alltaf eiga 5 pakn.; Eining: PK
MS,214,,Hleðsla kolvetnaskert 1 ltr,1,,,alltaf eiga 1 pakningu; Helgar/fimmtud: alltaf eiga 1 pakningu; Eining: PK
MS,,,Hleðsla m/súkkulaðibr 1 ltr,1,,,alltaf eiga 1 pakningu; Helgar/fimmtud: alltaf eiga 1 pakningu; Eining: PK
MS,2163,,Hleðsla m/súkkulaðibr 8*3 1/4,5,,,Alltaf eiga 5 pakn.; Helgar/fimmtud: Alltaf eiga 5 pakn.; Eining: PK
